"","symbol","HR","lower95","upper95","pValue"
"ENSG00000113269","RNF130","1.0136484686081","0.393502198895841","2.61112446333117","0.977"
"ENSG00000186115","CYP4F2","0.89440196594883","0.354525630221071","2.25640915212338","0.804"
"ENSG00000139508","SLC46A3","1.16473173781158","0.454849309011991","2.9825262876893","0.746"
"ENSG00000011376","LARS2","1.28258697813385","0.50549371613043","3.25430228702202","0.595"
"ENSG00000198792","TMEM184B","1.05369188274915","0.418134666422037","2.65528470354289","0.911"
"ENSG00000178531","CTXN1","1.05353525983387","0.418073263824301","2.65488525518266","0.911"
"ENSG00000176454","LPCAT4","0.868345761221228","0.339435335928286","2.22140797147348","0.76"
"ENSG00000166228","PCBD1","1.13665720706014","0.450345693826196","2.8688841129685","0.784"
"ENSG00000131981","LGALS3","0.780423801284729","0.308304391925556","1.97551940732252","0.602"
"ENSG00000139344","AMDHD1","0.777657113897498","0.306444551040392","1.97344212759611","0.575"
"ENSG00000182240","BACE2","0.554074021530107","0.219454961986983","1.3989112779904","0.214"
"ENSG00000163040","CCDC74A","1.18200851299261","0.469033050445641","2.97877542629359","0.722"
"ENSG00000143797","MBOAT2","1.71142697302539","0.671640379448189","4.36093834382805","0.247"
"ENSG00000196670","ZFP62","0.69128194195359","0.273731253287416","1.74576602975389","0.431"
"ENSG00000131781","FMO5","1.02980575584844","0.405781837227824","2.61347304754589","0.95"
"ENSG00000100246","DNAL4","1.53228775330091","0.608202447824056","3.86040169242324","0.369"
"ENSG00000134824","FADS2","1.03012066546409","0.405898661118668","2.6143190088177","0.949"
"ENSG00000151725","CENPU","1.94743758684651","0.772979034954121","4.9063596594022","0.174"
"ENSG00000117643","MAN1C1","0.653806728075325","0.257380551417746","1.66082182714248","0.39"
"ENSG00000158109","TPRG1L","0.662527349167827","0.260593575092936","1.6843948982196","0.406"
"ENSG00000286451","AL499602.1","1.45035873428975","0.574256721702956","3.66306632318125","0.409"
"ENSG00000153944","MSI2","0.820335119706255","0.325611283285493","2.06672723940417","0.67"
"ENSG00000144040","SFXN5","3.10996089412417","1.20692348945657","8.01364531179726","0.0142"
"ENSG00000118997","DNAH7","1.4002152870432","0.554994199138839","3.53265467118692","0.462"
"ENSG00000154719","MRPL39","0.863384279105884","0.337331000383409","2.20979516427465","0.749"
"ENSG00000102225","CDK16","1.00481915797907","0.398865516916768","2.53133323744416","0.992"
"ENSG00000171135","JAGN1","0.594153923348797","0.235723256742222","1.49759887721565","0.258"
"ENSG00000170185","USP38","1.0028011996347","0.395723061198248","2.54119697483338","0.995"
"ENSG00000105443","CYTH2","0.863309885890136","0.341839613177895","2.18027381948791","0.751"
"ENSG00000221838","AP4M1","0.991760209212987","0.391252645453373","2.51394674006212","0.986"
"ENSG00000157103","SLC6A1","0.623729643839519","0.247580228611972","1.57136404140699","0.305"
"ENSG00000184500","PROS1","3.22657411582564","1.27391640200238","8.17226350846259","0.0141"
"ENSG00000287929","AL354953.1","0.65226029607377","0.258898868379141","1.64328062342555","0.371"
"ENSG00000197461","PDGFA","0.440551336141051","0.172160723478163","1.12735051209449","0.0699"
"ENSG00000162366","PDZK1IP1","0.501100555332766","0.198913558105872","1.26236627078561","0.157"
"ENSG00000223797","ENTPD3-AS1","1.5681897232618","0.608053902952226","4.04440954363406","0.331"
"ENSG00000108387","SEPTIN4","0.630037036543816","0.250092585977372","1.58719886023662","0.331"
"ENSG00000101236","RNF24","1.50353613424023","0.585440309356886","3.86140289767434","0.371"
"ENSG00000103876","FAH","1.56186745370044","0.616442972328231","3.95726782919639","0.341"
"ENSG00000167767","KRT80","0.565845171686265","0.224256616696672","1.42774274862861","0.213"
"ENSG00000187535","IFT140","1.16097948459838","0.460564531794159","2.9265678761836","0.752"
"ENSG00000154358","OBSCN","1.03108689872973","0.409249356513029","2.597780975859","0.948"
"ENSG00000065600","PACC1","1.06862440899467","0.423978521920905","2.69343390869276","0.882"
